"ID";"Group";"FKG";"DKG";"Gender";"Elderly";"Age"
190;23;1;0;"female";"65-";"10-14"
191;32;1;1;"female";"65-";"55-59"
192;7;0;0;"male";"65-";"30-34"
193;39;0;0;"female";"65+";"90-94"
194;19;0;1;"male";"65+";"90-94"
195;38;1;0;"female";"65+";"85-89"
196;37;0;1;"female";"65+";"80-84"
197;31;0;1;"female";"65-";"50-54"
198;28;0;0;"female";"65-";"35-39"
199;26;1;0;"female";"65-";"25-29"
200;3;1;1;"male";"65-";"10-14"
201;17;0;1;"male";"65+";"80-84"
202;22;0;1;"female";"65-";"5-9"
203;38;0;0;"female";"65+";"85-89"
204;29;1;0;"female";"65-";"40-44"
205;29;1;0;"female";"65-";"40-44"
206;19;0;1;"male";"65+";"90-94"
207;5;1;1;"male";"65-";"20-24"
208;32;1;0;"female";"65-";"55-59"
209;18;1;0;"male";"65+";"85-89"
210;18;0;0;"male";"65+";"85-89"
211;2;1;0;"male";"65-";"5-9"
212;6;0;0;"male";"65-";"25-29"
213;17;0;1;"male";"65+";"80-84"
214;31;0;1;"female";"65-";"50-54"
215;1;1;0;"male";"65-";"0-4"
216;25;1;0;"female";"65-";"20-24"
217;37;0;1;"female";"65+";"80-84"
218;29;0;0;"female";"65-";"40-44"
219;11;0;1;"male";"65-";"50-54"
220;35;1;1;"female";"65+";"70-74"
221;14;0;0;"male";"65+";"65-69"
222;24;1;1;"female";"65-";"15-19"
223;18;1;0;"male";"65+";"85-89"
224;3;1;1;"male";"65-";"10-14"
225;30;1;1;"female";"65-";"45-49"
226;22;0;1;"female";"65-";"5-9"
227;31;0;0;"female";"65-";"50-54"
228;3;1;0;"male";"65-";"10-14"
229;29;0;0;"female";"65-";"40-44"
230;12;1;1;"male";"65-";"55-59"
231;12;0;0;"male";"65-";"55-59"
232;34;0;1;"female";"65+";"65-69"
233;4;0;1;"male";"65-";"15-19"
234;2;0;1;"male";"65-";"5-9"
235;14;1;1;"male";"65+";"65-69"
236;22;0;1;"female";"65-";"5-9"
237;25;1;0;"female";"65-";"20-24"
238;11;1;1;"male";"65-";"50-54"
239;9;1;1;"male";"65-";"40-44"
240;16;0;1;"male";"65+";"75-79"
241;19;1;1;"male";"65+";"90-94"
242;34;0;0;"female";"65+";"65-69"
243;5;0;0;"male";"65-";"20-24"
244;28;1;1;"female";"65-";"35-39"
245;20;1;0;"male";"65+";"95-99"
246;37;1;0;"female";"65+";"80-84"
247;23;1;0;"female";"65-";"10-14"
248;6;0;1;"male";"65-";"25-29"
249;18;1;0;"male";"65+";"85-89"
250;8;1;1;"male";"65-";"35-39"
251;18;1;1;"male";"65+";"85-89"
252;10;1;1;"male";"65-";"45-49"
253;39;1;1;"female";"65+";"90-94"
254;18;1;0;"male";"65+";"85-89"
255;32;0;0;"female";"65-";"55-59"
256;7;0;0;"male";"65-";"30-34"
257;35;1;1;"female";"65+";"70-74"
258;9;1;0;"male";"65-";"40-44"
259;8;1;0;"male";"65-";"35-39"
260;7;1;1;"male";"65-";"30-34"
261;23;0;0;"female";"65-";"10-14"
262;30;0;1;"female";"65-";"45-49"
263;36;0;1;"female";"65+";"75-79"
264;29;1;1;"female";"65-";"40-44"
265;20;1;1;"male";"65+";"95-99"
266;33;1;0;"female";"65-";"60-64"
267;1;0;1;"male";"65-";"0-4"
268;40;0;0;"female";"65+";"95-99"
269;26;0;1;"female";"65-";"25-29"
270;18;0;0;"male";"65+";"85-89"
271;2;0;0;"male";"65-";"5-9"
272;31;0;0;"female";"65-";"50-54"
273;9;1;1;"male";"65-";"40-44"
274;40;1;1;"female";"65+";"95-99"
275;37;1;0;"female";"65+";"80-84"
276;29;0;1;"female";"65-";"40-44"
277;30;0;0;"female";"65-";"45-49"
278;19;1;0;"male";"65+";"90-94"
279;35;0;1;"female";"65+";"70-74"
280;7;0;0;"male";"65-";"30-34"
281;25;0;1;"female";"65-";"20-24"
282;12;1;1;"male";"65-";"55-59"
283;19;1;0;"male";"65+";"90-94"
284;2;1;0;"male";"65-";"5-9"
285;8;0;0;"male";"65-";"35-39"
286;3;0;1;"male";"65-";"10-14"
287;38;0;1;"female";"65+";"85-89"
288;14;1;1;"male";"65+";"65-69"
289;21;0;0;"female";"65-";"0-4"
290;26;0;0;"female";"65-";"25-29"
291;10;1;1;"male";"65-";"45-49"
292;21;0;0;"female";"65-";"0-4"
293;33;1;0;"female";"65-";"60-64"
294;14;1;0;"male";"65+";"65-69"
295;35;1;0;"female";"65+";"70-74"
296;2;1;0;"male";"65-";"5-9"
297;39;1;0;"female";"65+";"90-94"
298;30;1;1;"female";"65-";"45-49"
299;11;0;0;"male";"65-";"50-54"
300;28;1;1;"female";"65-";"35-39"
301;14;0;0;"male";"65+";"65-69"
302;38;0;1;"female";"65+";"85-89"
303;14;0;1;"male";"65+";"65-69"
304;2;0;1;"male";"65-";"5-9"
305;15;1;0;"male";"65+";"70-74"
306;16;0;0;"male";"65+";"75-79"
307;15;0;0;"male";"65+";"70-74"
308;39;1;0;"female";"65+";"90-94"
309;16;0;0;"male";"65+";"75-79"
310;22;0;1;"female";"65-";"5-9"
311;38;1;0;"female";"65+";"85-89"
312;37;1;1;"female";"65+";"80-84"
313;10;1;0;"male";"65-";"45-49"
314;29;1;1;"female";"65-";"40-44"
315;14;1;1;"male";"65+";"65-69"
316;23;1;0;"female";"65-";"10-14"
317;30;1;1;"female";"65-";"45-49"
318;33;0;1;"female";"65-";"60-64"
319;35;1;1;"female";"65+";"70-74"
320;2;1;0;"male";"65-";"5-9"
321;9;0;1;"male";"65-";"40-44"
322;15;1;0;"male";"65+";"70-74"
323;13;1;0;"male";"65-";"60-64"
324;30;1;0;"female";"65-";"45-49"
325;28;0;0;"female";"65-";"35-39"
326;37;0;0;"female";"65+";"80-84"
327;34;0;1;"female";"65+";"65-69"
328;32;1;1;"female";"65-";"55-59"
329;17;1;1;"male";"65+";"80-84"
330;24;0;0;"female";"65-";"15-19"
331;4;0;0;"male";"65-";"15-19"
332;35;0;0;"female";"65+";"70-74"
333;39;1;1;"female";"65+";"90-94"
334;21;1;1;"female";"65-";"0-4"
335;37;1;0;"female";"65+";"80-84"
336;6;1;0;"male";"65-";"25-29"
337;10;0;1;"male";"65-";"45-49"
338;20;0;1;"male";"65+";"95-99"
339;19;0;1;"male";"65+";"90-94"
340;18;0;0;"male";"65+";"85-89"
341;2;1;0;"male";"65-";"5-9"
342;26;0;1;"female";"65-";"25-29"
343;29;0;0;"female";"65-";"40-44"
344;15;1;1;"male";"65+";"70-74"
345;38;0;0;"female";"65+";"85-89"
346;30;1;0;"female";"65-";"45-49"
347;3;1;1;"male";"65-";"10-14"
348;40;1;1;"female";"65+";"95-99"
349;9;0;0;"male";"65-";"40-44"
350;2;1;1;"male";"65-";"5-9"
351;11;0;1;"male";"65-";"50-54"
352;29;0;0;"female";"65-";"40-44"
353;10;0;0;"male";"65-";"45-49"
354;10;1;1;"male";"65-";"45-49"
355;1;0;0;"male";"65-";"0-4"
356;11;0;0;"male";"65-";"50-54"
357;28;1;0;"female";"65-";"35-39"
358;2;1;1;"male";"65-";"5-9"
359;3;0;1;"male";"65-";"10-14"
360;16;0;0;"male";"65+";"75-79"
361;20;1;0;"male";"65+";"95-99"
362;26;0;1;"female";"65-";"25-29"
363;29;0;0;"female";"65-";"40-44"
364;4;1;1;"male";"65-";"15-19"
365;17;0;0;"male";"65+";"80-84"
366;39;1;1;"female";"65+";"90-94"
367;33;0;0;"female";"65-";"60-64"
368;9;1;0;"male";"65-";"40-44"
369;20;1;0;"male";"65+";"95-99"
370;1;1;0;"male";"65-";"0-4"
371;11;1;0;"male";"65-";"50-54"
372;19;0;0;"male";"65+";"90-94"
373;30;1;0;"female";"65-";"45-49"
374;40;0;1;"female";"65+";"95-99"
375;14;0;1;"male";"65+";"65-69"
376;38;0;1;"female";"65+";"85-89"
377;39;1;0;"female";"65+";"90-94"
378;36;0;1;"female";"65+";"75-79"
379;20;0;1;"male";"65+";"95-99"
380;32;1;1;"female";"65-";"55-59"
381;33;1;0;"female";"65-";"60-64"
382;28;0;0;"female";"65-";"35-39"
383;24;0;1;"female";"65-";"15-19"
384;14;1;1;"male";"65+";"65-69"
385;1;0;0;"male";"65-";"0-4"
386;3;0;0;"male";"65-";"10-14"
387;4;1;0;"male";"65-";"15-19"
388;1;0;0;"male";"65-";"0-4"
389;14;0;0;"male";"65+";"65-69"
390;5;1;1;"male";"65-";"20-24"
391;24;1;0;"female";"65-";"15-19"
392;2;1;0;"male";"65-";"5-9"
393;1;1;1;"male";"65-";"0-4"
394;7;1;0;"male";"65-";"30-34"
395;34;1;1;"female";"65+";"65-69"
396;31;1;0;"female";"65-";"50-54"
397;11;1;1;"male";"65-";"50-54"
398;8;1;1;"male";"65-";"35-39"
399;10;0;0;"male";"65-";"45-49"
400;3;1;0;"male";"65-";"10-14"
401;3;1;0;"male";"65-";"10-14"
402;6;1;0;"male";"65-";"25-29"
403;3;1;0;"male";"65-";"10-14"
404;2;0;1;"male";"65-";"5-9"
405;21;0;0;"female";"65-";"0-4"
406;32;1;1;"female";"65-";"55-59"
407;28;0;1;"female";"65-";"35-39"
408;3;1;0;"male";"65-";"10-14"
409;1;0;1;"male";"65-";"0-4"
410;18;1;1;"male";"65+";"85-89"
411;7;1;1;"male";"65-";"30-34"
412;29;0;0;"female";"65-";"40-44"
413;29;0;0;"female";"65-";"40-44"
414;36;0;0;"female";"65+";"75-79"
415;14;1;1;"male";"65+";"65-69"
416;39;1;0;"female";"65+";"90-94"
417;40;1;1;"female";"65+";"95-99"
418;2;1;1;"male";"65-";"5-9"
419;36;1;1;"female";"65+";"75-79"
420;33;0;0;"female";"65-";"60-64"
421;29;1;0;"female";"65-";"40-44"
422;12;1;1;"male";"65-";"55-59"
423;21;1;1;"female";"65-";"0-4"
424;18;1;1;"male";"65+";"85-89"
425;25;1;1;"female";"65-";"20-24"
426;38;0;0;"female";"65+";"85-89"
427;10;1;1;"male";"65-";"45-49"
428;11;0;0;"male";"65-";"50-54"
429;30;1;0;"female";"65-";"45-49"
430;31;0;0;"female";"65-";"50-54"
431;38;0;0;"female";"65+";"85-89"
432;19;1;1;"male";"65+";"90-94"
433;35;1;0;"female";"65+";"70-74"
434;13;1;0;"male";"65-";"60-64"
435;9;0;0;"male";"65-";"40-44"
436;37;0;1;"female";"65+";"80-84"
437;3;1;1;"male";"65-";"10-14"
438;17;0;0;"male";"65+";"80-84"
439;19;0;1;"male";"65+";"90-94"
440;17;1;1;"male";"65+";"80-84"
441;27;0;1;"female";"65-";"30-34"
442;31;1;1;"female";"65-";"50-54"
443;37;0;1;"female";"65+";"80-84"
444;33;0;0;"female";"65-";"60-64"
445;4;0;1;"male";"65-";"15-19"
446;8;0;1;"male";"65-";"35-39"
447;26;1;0;"female";"65-";"25-29"
448;35;0;0;"female";"65+";"70-74"
449;24;0;0;"female";"65-";"15-19"
450;11;1;1;"male";"65-";"50-54"
451;36;0;1;"female";"65+";"75-79"
452;8;0;0;"male";"65-";"35-39"
453;20;1;0;"male";"65+";"95-99"
454;1;0;0;"male";"65-";"0-4"
455;15;1;1;"male";"65+";"70-74"
456;18;0;1;"male";"65+";"85-89"
457;6;1;1;"male";"65-";"25-29"
458;25;0;1;"female";"65-";"20-24"
459;13;0;1;"male";"65-";"60-64"
460;10;0;1;"male";"65-";"45-49"
461;15;1;0;"male";"65+";"70-74"
462;36;1;0;"female";"65+";"75-79"
463;40;0;1;"female";"65+";"95-99"
464;30;0;0;"female";"65-";"45-49"
465;40;0;1;"female";"65+";"95-99"
466;22;1;0;"female";"65-";"5-9"
467;18;1;0;"male";"65+";"85-89"
468;39;1;0;"female";"65+";"90-94"
469;6;0;0;"male";"65-";"25-29"
470;3;1;0;"male";"65-";"10-14"
471;1;0;0;"male";"65-";"0-4"
472;25;1;1;"female";"65-";"20-24"
473;28;1;1;"female";"65-";"35-39"
474;33;1;0;"female";"65-";"60-64"
475;6;0;1;"male";"65-";"25-29"
476;7;0;0;"male";"65-";"30-34"
477;40;0;0;"female";"65+";"95-99"
478;16;1;0;"male";"65+";"75-79"
479;8;0;0;"male";"65-";"35-39"
480;20;1;1;"male";"65+";"95-99"
481;22;0;0;"female";"65-";"5-9"
482;14;1;1;"male";"65+";"65-69"
483;40;0;1;"female";"65+";"95-99"
484;22;1;1;"female";"65-";"5-9"
485;6;0;0;"male";"65-";"25-29"
486;18;1;0;"male";"65+";"85-89"
487;25;0;0;"female";"65-";"20-24"
488;9;1;1;"male";"65-";"40-44"
489;6;1;0;"male";"65-";"25-29"
490;32;0;0;"female";"65-";"55-59"
491;26;0;1;"female";"65-";"25-29"
492;12;1;1;"male";"65-";"55-59"
493;8;0;1;"male";"65-";"35-39"
494;11;0;1;"male";"65-";"50-54"
495;22;0;1;"female";"65-";"5-9"
496;28;0;1;"female";"65-";"35-39"
497;16;0;0;"male";"65+";"75-79"
498;39;1;0;"female";"65+";"90-94"
499;5;1;0;"male";"65-";"20-24"
500;2;1;1;"male";"65-";"5-9"
501;21;1;1;"female";"65-";"0-4"
502;24;1;0;"female";"65-";"15-19"
503;34;0;0;"female";"65+";"65-69"
504;27;0;0;"female";"65-";"30-34"
505;38;1;0;"female";"65+";"85-89"
506;21;1;1;"female";"65-";"0-4"
507;4;1;0;"male";"65-";"15-19"
508;40;1;0;"female";"65+";"95-99"
509;17;0;1;"male";"65+";"80-84"
510;36;0;1;"female";"65+";"75-79"
511;36;0;0;"female";"65+";"75-79"
512;12;0;1;"male";"65-";"55-59"
513;6;0;1;"male";"65-";"25-29"
514;11;1;0;"male";"65-";"50-54"
515;1;1;1;"male";"65-";"0-4"
516;33;1;1;"female";"65-";"60-64"
517;7;0;0;"male";"65-";"30-34"
518;34;0;1;"female";"65+";"65-69"
519;7;0;0;"male";"65-";"30-34"
520;31;1;0;"female";"65-";"50-54"
521;21;0;0;"female";"65-";"0-4"
522;11;0;0;"male";"65-";"50-54"
523;14;0;0;"male";"65+";"65-69"
524;29;1;0;"female";"65-";"40-44"
525;24;1;0;"female";"65-";"15-19"
526;19;0;1;"male";"65+";"90-94"
527;14;0;0;"male";"65+";"65-69"
528;39;0;1;"female";"65+";"90-94"
529;26;0;0;"female";"65-";"25-29"
530;8;0;0;"male";"65-";"35-39"
531;15;0;0;"male";"65+";"70-74"
532;21;0;1;"female";"65-";"0-4"
533;36;1;0;"female";"65+";"75-79"
534;7;0;0;"male";"65-";"30-34"
535;10;0;0;"male";"65-";"45-49"
536;7;1;0;"male";"65-";"30-34"
537;25;0;0;"female";"65-";"20-24"
538;21;0;1;"female";"65-";"0-4"
539;8;1;1;"male";"65-";"35-39"
540;17;0;1;"male";"65+";"80-84"
541;24;0;1;"female";"65-";"15-19"
542;13;1;1;"male";"65-";"60-64"
543;20;0;0;"male";"65+";"95-99"
544;38;1;0;"female";"65+";"85-89"
545;2;1;1;"male";"65-";"5-9"
546;22;0;0;"female";"65-";"5-9"
547;18;1;1;"male";"65+";"85-89"
548;37;0;1;"female";"65+";"80-84"
549;36;1;1;"female";"65+";"75-79"
550;7;0;1;"male";"65-";"30-34"
551;31;1;0;"female";"65-";"50-54"
552;17;1;0;"male";"65+";"80-84"
553;23;0;1;"female";"65-";"10-14"
554;4;0;0;"male";"65-";"15-19"
555;5;0;1;"male";"65-";"20-24"
556;38;1;0;"female";"65+";"85-89"
557;36;0;1;"female";"65+";"75-79"
558;7;0;0;"male";"65-";"30-34"
559;22;0;0;"female";"65-";"5-9"
560;38;0;1;"female";"65+";"85-89"
561;14;1;0;"male";"65+";"65-69"
562;7;0;0;"male";"65-";"30-34"
563;38;0;0;"female";"65+";"85-89"
564;19;0;0;"male";"65+";"90-94"
565;9;0;0;"male";"65-";"40-44"
566;1;0;0;"male";"65-";"0-4"
567;25;0;1;"female";"65-";"20-24"
568;17;1;1;"male";"65+";"80-84"
569;37;0;0;"female";"65+";"80-84"
570;21;1;0;"female";"65-";"0-4"
571;30;1;1;"female";"65-";"45-49"
572;2;0;0;"male";"65-";"5-9"
573;16;1;0;"male";"65+";"75-79"
574;16;0;1;"male";"65+";"75-79"
575;14;0;1;"male";"65+";"65-69"
576;15;0;1;"male";"65+";"70-74"
577;26;1;0;"female";"65-";"25-29"
578;2;0;1;"male";"65-";"5-9"
579;28;0;1;"female";"65-";"35-39"
580;33;0;0;"female";"65-";"60-64"
581;21;0;0;"female";"65-";"0-4"
582;5;0;0;"male";"65-";"20-24"
583;37;0;0;"female";"65+";"80-84"
584;17;1;1;"male";"65+";"80-84"
585;19;0;0;"male";"65+";"90-94"
586;29;1;1;"female";"65-";"40-44"
587;10;1;1;"male";"65-";"45-49"
588;12;0;1;"male";"65-";"55-59"
589;29;1;1;"female";"65-";"40-44"
590;31;0;0;"female";"65-";"50-54"
591;1;0;1;"male";"65-";"0-4"
592;23;1;0;"female";"65-";"10-14"
593;27;1;1;"female";"65-";"30-34"
594;38;1;0;"female";"65+";"85-89"
595;28;0;0;"female";"65-";"35-39"
596;11;0;0;"male";"65-";"50-54"
597;17;0;0;"male";"65+";"80-84"
598;5;1;0;"male";"65-";"20-24"
599;6;0;1;"male";"65-";"25-29"
600;26;0;1;"female";"65-";"25-29"
601;14;1;0;"male";"65+";"65-69"
602;17;1;0;"male";"65+";"80-84"
603;38;0;1;"female";"65+";"85-89"
604;16;1;0;"male";"65+";"75-79"
605;10;1;1;"male";"65-";"45-49"
606;28;0;0;"female";"65-";"35-39"
607;1;1;0;"male";"65-";"0-4"
608;28;1;1;"female";"65-";"35-39"
609;32;0;1;"female";"65-";"55-59"
610;21;1;0;"female";"65-";"0-4"
611;13;0;0;"male";"65-";"60-64"
612;30;0;0;"female";"65-";"45-49"
613;13;1;0;"male";"65-";"60-64"
614;31;0;1;"female";"65-";"50-54"
615;5;0;0;"male";"65-";"20-24"
616;32;1;0;"female";"65-";"55-59"
617;20;1;1;"male";"65+";"95-99"
618;34;0;0;"female";"65+";"65-69"
619;31;0;1;"female";"65-";"50-54"
620;37;0;1;"female";"65+";"80-84"
621;12;1;1;"male";"65-";"55-59"
622;18;0;0;"male";"65+";"85-89"
623;11;0;1;"male";"65-";"50-54"
624;14;1;1;"male";"65+";"65-69"
625;35;0;0;"female";"65+";"70-74"
626;5;1;1;"male";"65-";"20-24"
627;17;1;0;"male";"65+";"80-84"
628;17;0;0;"male";"65+";"80-84"
629;18;0;1;"male";"65+";"85-89"
630;8;1;1;"male";"65-";"35-39"
631;11;1;1;"male";"65-";"50-54"
632;27;0;1;"female";"65-";"30-34"
633;33;0;1;"female";"65-";"60-64"
634;17;1;1;"male";"65+";"80-84"
635;7;0;0;"male";"65-";"30-34"
636;12;1;1;"male";"65-";"55-59"
637;33;0;1;"female";"65-";"60-64"
638;7;1;1;"male";"65-";"30-34"
639;32;1;1;"female";"65-";"55-59"
640;21;0;0;"female";"65-";"0-4"
641;13;1;1;"male";"65-";"60-64"
642;12;0;0;"male";"65-";"55-59"
643;33;0;1;"female";"65-";"60-64"
644;5;1;1;"male";"65-";"20-24"
645;34;0;0;"female";"65+";"65-69"
646;4;0;0;"male";"65-";"15-19"
647;29;0;1;"female";"65-";"40-44"
648;35;0;1;"female";"65+";"70-74"
649;40;1;0;"female";"65+";"95-99"
650;10;0;0;"male";"65-";"45-49"
651;1;1;1;"male";"65-";"0-4"
652;9;0;1;"male";"65-";"40-44"
653;5;0;1;"male";"65-";"20-24"
654;16;0;1;"male";"65+";"75-79"
655;4;0;1;"male";"65-";"15-19"
656;12;0;0;"male";"65-";"55-59"
657;23;1;1;"female";"65-";"10-14"
658;14;1;1;"male";"65+";"65-69"
659;38;1;1;"female";"65+";"85-89"
660;16;1;0;"male";"65+";"75-79"
661;39;1;1;"female";"65+";"90-94"
662;11;0;1;"male";"65-";"50-54"
663;28;1;0;"female";"65-";"35-39"
